timestamp,pm25,co2,voc,temperature,humidity
2026-09-06 00:00:00,12.4,480.0,85.2,21.8,47.5
2026-09-06 01:00:00,11.8,475.2,82.0,21.5,48.0
2026-09-06 02:00:00,10.5,460.5,78.5,21.3,48.2
2026-09-06 03:00:00,11.2,465.0,79.0,21.1,48.5
2026-09-06 04:00:00,12.0,470.1,81.3,21.0,49.0
2026-09-06 05:00:00,14.5,495.4,92.0,21.2,48.8
2026-09-06 06:00:00,18.2,540.0,110.5,21.8,47.9
2026-09-06 07:00:00,28.5,680.5,165.0,22.5,46.5
2026-09-06 08:00:00,38.4,850.2,230.1,23.2,45.8
2026-09-06 09:00:00,45.2,980.0,290.4,24.0,45.0
2026-09-06 10:00:00,52.8,1120.4,340.2,24.5,44.2
2026-09-06 11:00:00,68.4,1280.0,410.8,25.1,43.5
2026-09-06 12:00:00,75.0,1350.5,460.0,25.8,42.8
2026-09-06 13:00:00,62.1,1220.0,380.5,25.9,43.0
2026-09-06 14:00:00,48.5,1050.2,310.0,25.5,43.8
2026-09-06 15:00:00,42.0,940.0,260.4,25.0,44.5
2026-09-06 16:00:00,36.5,860.5,220.0,24.6,45.2
2026-09-06 17:00:00,44.2,990.2,280.1,24.1,46.0
2026-09-06 18:00:00,58.9,1180.0,360.5,23.8,46.8
2026-09-06 19:00:00,49.5,1020.4,315.0,23.4,47.2
2026-09-06 20:00:00,35.0,850.0,230.5,23.0,47.5
2026-09-06 21:00:00,24.5,710.2,175.0,22.7,48.0
2026-09-06 22:00:00,18.0,590.0,130.2,22.3,48.2
2026-09-06 23:00:00,14.2,510.5,98.0,22.0,48.5
